Time,X,Y,Speed
0.0,-382.97111761910026,1225.0940211638726,286.16
0.069,-380.0,1288.0,286.84999936
0.184,-373.7680765764587,1418.5545980084244,288.0
0.309,-367.0,1560.0,289.1718744
0.504,-360.56459557166465,1696.3428378884669,291.0
0.729,-355.0,1818.0,292.4062512
0.824,-351.6445138589595,1891.5834855123016,293.0
0.949,-347.0,1996.0,293.88967865189215
1.105,-342.1184664253354,2115.88615466975,295.0
1.109,-342.0,2119.0,295.0333312
1.409,-333.0,2365.0,297.53333333333336
1.465,-330.9794134977134,2411.2374546297774,298.0
1.569,-327.0,2497.0,298.0
1.728,-321.0,2629.0,298.0
1.785,-318.92443500644526,2676.0424849016936,298.0
2.048,-309.0,2895.0,299.46111004444447
2.145,-304.4785212561719,2979.9862300038667,300.0
2.208,-302.0,3028.0,300.3937488
2.305,-299.7020227459976,3081.5278933347513,301.0
2.388,-298.0,3125.0,301.34583253333335
2.545,-292.81463390299024,3240.2265579199457,302.0
2.628,-289.0,3326.0,302.5187488
2.705,-284.7834285777461,3423.960814055871,303.0
2.848,-277.0,3612.0,303.4874993454545
3.248,-269.0,3849.0,304.8511357090909
3.448,-262.0,4018.0,305.5329538909091
3.585,-256.17536667733316,4180.460717017621,306.0
3.668,-253.0,4272.0,306.165999616
4.048,-244.0,4528.0,306.925999616
4.228,-239.0,4681.0,307.285999616
4.428,-233.0,4852.0,307.685999616
4.585,-227.80409063151828,4988.972929723451,308.0
4.608,-227.0,5012.0,308.05749952
4.909,-216.0,5372.0,308.80999936
4.985,-213.49167450505774,5451.311664258676,309.0
5.225,-206.607385101696,5650.20967761051,309.0
5.329,-204.0,5724.0,309.0
5.625,-197.46670132522186,5916.637313822341,309.0
5.689,-196.0,5965.0,309.0
5.849,-192.0,6102.0,309.0
6.024,-186.67676963775654,6261.739826226548,309.0
6.169,-183.0,6393.0,309.0
6.224,-182.08909884126984,6441.176109923063,309.0
6.289,-181.0,6501.0,309.0
6.504,-174.48544587787998,6748.633110177757,309.0
6.589,-172.0,6837.0,305.9305578666667
6.864,-167.2040835558167,7019.6585267259325,296.0
7.029,-164.0,7125.0,283.10938
7.184,-159.67727217971395,7250.536448601533,271.0
7.209,-159.0,7270.0,267.1458037333333
7.329,-156.0,7356.0,248.64580373333334
7.424,-153.6369148739368,7420.386916461366,234.0
7.569,-150.0,7513.0,224.9937876347377
7.585,-149.60170370723313,7522.681162323829,224.0
7.729,-146.0,7606.0,207.2
7.945,-140.21147324848505,7726.201457536493,182.0
7.989,-139.0,7750.0,182.0
8.225,-132.31591773418003,7871.875219054328,182.0
8.268,-131.0,7892.0,174.32146285714285
8.448,-125.0,7968.0,142.1786057142857
8.505,-122.88324502977925,7989.832787347903,132.0
8.688,-115.0,8054.0,125.59500672
8.705,-114.13948813551781,8059.606898632641,125.0
8.908,-102.0,8122.0,113.0045568
9.108,-86.0,8175.0,101.18637498181818
9.145,-82.36880966633449,8184.147622205446,99.0
9.328,-62.0,8226.0,92.7093816
9.465,-46.046498250193665,8252.151487653871,88.0
9.548,-32.0,8269.0,85.57917226666666
9.705,7.2013433793380885,8305.744707225162,81.0
9.748,17.0,8314.0,80.69285851428572
9.985,49.728400914366595,8334.766598087608,79.0
10.108,66.0,8339.0,75.5406304
10.305,102.96609379785465,8345.585359316161,70.0
10.388,119.0,8347.0,68.703128
10.508,142.0,8346.0,66.828128
10.625,173.00908337702782,8337.025503535318,65.0
10.768,211.0,8322.0,64.28500096
10.825,221.26699862640265,8317.5801137485,64.0
11.025,237.27934622059723,8308.292140161819,64.0
11.168,251.0,8298.0,64.0
11.185,253.31018990966083,8296.325831028555,64.0
11.349,280.0,8277.0,64.81999872
11.385,285.44825548066103,8272.844333572366,65.0
11.609,317.0,8246.0,68.73333333333333
11.625,319.6558552215596,8243.555383710445,69.0
11.869,364.0,8201.0,74.48999424
12.025,383.7720368221602,8181.317404483218,78.0
12.209,404.0,8160.0,82.6
12.225,406.0877387705881,8157.743607987529,83.0
12.369,429.0,8133.0,86.0
12.465,452.1362421202971,8108.806812862167,88.0
12.689,512.0,8047.0,98.30963171317694
12.704,514.6481571107611,8044.225804396257,99.0
13.029,554.0,8009.0,109.56249792
13.104,575.8888841540436,7993.846418750041,112.0
13.349,675.0,7931.0,117.01136232727272
13.544,740.7951399676217,7900.995852542834,121.0
13.769,803.0,7883.0,125.82143268571429
13.824,817.076226956138,7879.527560272563,127.0
14.065,875.8527965630051,7868.449722770314,134.0
14.189,913.0,7865.0,138.6499904
14.305,954.1972898568982,7863.096292439466,143.0
14.369,978.0,7863.0,143.8
14.465,1013.7320688181824,7864.485205841825,145.0
14.609,1076.0,7871.0,150.04
14.665,1106.796035214691,7875.19460872567,152.0
14.848,1215.0,7892.0,156.0031208
14.985,1268.9639242141573,7901.326438744375,159.0
15.145,1316.738767738932,7911.320345410868,170.0
15.188,1333.0,7915.0,171.46590254545455
15.468,1466.0,7948.0,181.0113570909091
15.585,1520.1105664495792,7964.205663648181,185.0
15.628,1544.0,7972.0,186.50499328
15.785,1658.9433927415262,8011.236849141354,192.0
15.848,1707.0,8026.0,194.624992
16.025,1828.8480486683848,8053.832824331881,202.0
16.225,1941.5793297410562,8067.221957487921,208.0
16.268,1962.0,8069.0,208.42999808
16.425,2025.0510779389533,8072.339897997764,210.0
16.665,2118.0835160020833,8070.381569939789,216.0
16.688,2130.0,8070.0,216.718744
16.825,2212.4321021953183,8066.840334596935,221.0
16.848,2228.0,8066.0,221.5749952
17.105,2419.580568459503,8050.603827833645,228.0
17.148,2446.0,8048.0,228.71666346666666
17.345,2529.690092574476,8037.966012665548,232.0
17.508,2600.0,8027.0,234.71666346666666
17.585,2646.2526547393527,8019.636976508738,236.0
17.668,2703.0,8010.0,237.72916266666667
17.825,2818.1990248137417,7987.576229804486,241.0
17.829,2821.0,7987.0,241.071424
18.049,2966.0,7956.0,245.0
18.105,3007.2405231688467,7947.51066365648,246.0
18.345,3200.3547433672243,7909.475149856312,250.0
18.409,3243.0,7901.0,250.8
18.665,3377.0972945247545,7873.3556054800865,254.0
18.709,3408.0,7867.0,254.7857097142857
18.945,3637.957990257686,7820.239017744146,259.0
19.029,3718.0,7804.0,259.83999744
19.145,3812.7317321636974,7784.759356772534,261.0
19.449,4019.0,7743.0,264.4584762958219
19.869,4334.0,7680.0,269.23663142370106
20.024,4381.83308352591,7669.989439517446,271.0
20.129,4421.0,7662.0,271.8750016
20.264,4509.372118604892,7644.588721540866,273.0
20.424,4641.059542927642,7618.760941465034,275.0
20.449,4660.0,7615.0,275.12437894586685
20.609,4780.0,7591.0,275.92039808598787
20.625,4794.388215344487,7588.149553027313,276.0
20.869,5045.0,7539.0,277.7428553142857
20.905,5072.136790422306,7533.656754019847,278.0
21.105,5166.377778275152,7514.90275359505,280.0
21.189,5212.0,7506.0,280.29999908571426
21.385,5363.313539551289,7477.019227901121,281.0
21.468,5427.0,7465.0,281.34583253333335
21.625,5528.543170442094,7446.194940756762,282.0
21.748,5643.0,7425.0,283.0249984
21.865,5809.544702657444,7393.919392271679,284.0
21.908,5868.0,7383.0,283.8656256
22.185,6092.525611291856,7341.119819095254,283.0
22.345,6168.619010199891,7327.24811226328,283.0
22.348,6170.0,7327.0,283.0
22.505,6240.866062520918,7314.449492632006,283.0
22.608,6305.0,7303.0,281.0687536
22.825,6521.008544737468,7263.7716283609625,277.0
22.988,6673.0,7236.0,261.718768
23.145,6758.026809208967,7220.388720349483,247.0
23.368,6837.0,7206.0,216.3375264
23.545,6932.493903372669,7188.152298079598,192.0
23.568,6947.0,7185.0,189.843768
23.705,7043.073436153876,7161.417758182561,177.0
23.828,7126.0,7137.0,170.4656352
24.025,7221.184379440621,7098.264036242294,160.0
24.188,7274.0,7071.0,151.8500096
24.225,7283.68990032119,7065.889771376121,150.0
24.465,7332.093774787158,7036.964933299115,143.0
24.529,7347.0,7025.0,140.2
24.625,7372.989549719074,7001.887456820512,136.0
24.825,7431.977574077631,6942.483356776607,131.0
24.869,7442.0,6931.0,130.26667093333333
25.065,7470.842605148122,6889.026743735509,127.0
25.209,7483.0,6842.0,123.4
25.469,7497.0,6708.0,116.9000064
25.505,7497.71378149819,6695.8089818921,116.0
25.705,7495.905852514047,6665.457754553099,114.0
25.789,7493.0,6650.0,114.0
25.865,7489.452124110101,6629.721785195052,114.0
26.024,7479.6970927591965,6575.874712568605,115.0
26.049,7478.0,6568.0,115.3125024
26.264,7458.209633643704,6503.6290312766305,118.0
26.289,7454.0,6494.0,118.41666986666667
26.504,7401.334418198724,6390.453480628268,122.0
26.569,7390.0,6368.0,122.97500288
26.904,7381.498912776489,6347.978128535914,128.0
26.969,7367.0,6332.0,129.2187536
27.064,7331.343228105719,6292.115187140097,131.0
27.169,7290.0,6246.0,134.92116587193425
27.305,7264.370019710222,6218.757076725244,140.0
27.469,7243.0,6200.0,144.91999232
27.505,7234.1295870778795,6191.973068560132,146.0
27.669,7182.0,6145.0,153.37998848
27.705,7171.105180549652,6135.568509386587,155.0
27.988,7072.0,6059.0,165.6124928
28.025,7049.881195722863,6043.0044910241595,167.0
28.168,6956.0,5976.0,174.86498944
28.225,6928.450260830162,5956.580530587964,178.0
28.505,6860.6649708257355,5910.68027070652,183.0
28.548,6848.0,5902.0,184.7468672
28.768,6753.0,5835.0,193.6843672
28.825,6717.411898581768,5809.028615219038,196.0
29.025,6585.403117670356,5711.050858275552,203.0
29.028,6584.0,5710.0,203.0749952
29.308,6511.0,5653.0,210.0749952
29.385,6481.794405896711,5629.110776036961,212.0
29.545,6403.956037255471,5564.390372416178,217.0
29.568,6393.0,5555.0,217.5749952
29.808,6285.0,5457.0,223.5749952
29.905,6241.5559327558,5414.013082761872,226.0
30.028,6189.0,5359.0,227.0249984
30.145,6144.687065634724,5309.048547513836,228.0
30.188,6127.0,5288.0,228.5374976
30.465,5989.713077999751,5113.826137082126,232.0
30.488,5980.0,5101.0,232.34499712
30.665,5922.794253934198,5022.461165600028,235.0
30.865,5865.816108366641,4934.903943892822,236.0
30.888,5857.0,4921.0,236.16428434285714
30.989,5815.0,4854.0,236.88571245714286
31.145,5765.762720784171,4771.210283055904,238.0
31.309,5713.0,4685.0,226.87144594285715
31.425,5657.992214904722,4602.723381040727,219.0
31.549,5600.0,4520.0,212.11112533333335
31.785,5537.461712797179,4444.584012632322,199.0
31.869,5513.0,4421.0,195.26667804444443
32.049,5443.0,4358.0,187.26666666666665
32.145,5404.237205533573,4327.748786367317,183.0
32.229,5370.0,4304.0,181.25000533333332
32.509,5250.0,4240.0,175.416672
32.625,5198.07558701117,4221.156258451284,173.0
32.769,5132.0,4204.0,171.79665673804482
32.984,5030.130335951684,4190.010388815643,170.0
33.009,5018.0,4189.0,170.446432
33.109,4969.0,4186.0,172.23214171428572
33.264,4893.104241171228,4184.843298776825,175.0
33.309,4871.0,4185.0,175.2812496
33.509,4772.0,4187.0,176.5312496
33.584,4734.576238658419,4187.7191220619725,177.0
33.729,4663.0,4189.0,181.5218337043824
33.989,4533.0,4189.0,189.62993059262647
34.065,4484.270537149323,4185.524359781693,192.0
34.225,4372.320466692512,4173.471963966456,196.0
34.289,4338.0,4169.0,196.17777777777778
34.548,4253.0,4151.0,196.8972216888889
34.585,4237.925946959886,4146.591235232418,197.0
34.785,4131.126060618341,4112.468223861056,200.0
34.888,4075.0,4091.0,201.8392822857143
34.968,4034.0,4073.0,203.2678537142857
35.065,3984.409034976083,4048.4372587546577,205.0
35.268,3884.0,3991.0,210.0749952
35.305,3867.1961320083155,3980.6208237059,211.0
35.488,3780.0,3917.0,213.2874976
35.545,3744.044608805028,3884.4232379480404,214.0
35.728,3624.0,3765.0,217.92142445714285
35.825,3589.621057096472,3728.323873783745,220.0
36.028,3553.0,3679.0,222.5374976
36.065,3542.513942557949,3664.3497146231457,223.0
36.265,3467.1393288621125,3557.766482358497,226.0
36.308,3451.0,3534.0,227.0749952
36.425,3409.793003428543,3471.081792943649,230.0
36.468,3395.0,3448.0,230.7678537142857
36.705,3313.7217052454034,3317.869844041245,235.0
36.728,3306.0,3305.0,234.91785782857144
36.928,3240.0,3192.0,234.20357211428572
36.985,3221.037766061538,3159.9779283242783,234.0
37.088,3187.0,3103.0,231.4250048
37.145,3168.782501327905,3072.352634609472,230.0
37.328,3113.0,2979.0,206.3625248
37.385,3096.242260035142,2951.867498581674,199.0
37.508,3061.0,2897.0,185.1625216
37.705,3007.071911113435,2821.548237795988,163.0
37.849,2970.0,2771.0,152.65
37.889,2960.0,2757.0,149.775
38.025,2921.665133130322,2706.9554751765754,140.0
38.225,2861.15373758949,2634.8553057591485,128.0
38.269,2850.0,2622.0,126.3000098909091
38.665,2779.025615424899,2548.941012932675,111.0
38.709,2771.0,2542.0,109.0750112
38.825,2747.9439874844693,2523.091191491691,104.0
38.909,2726.0,2509.0,102.4250048
38.985,2700.362733609015,2496.0482340344015,101.0
39.149,2642.0,2472.0,97.23382482858949
39.429,2597.0,2461.0,90.80375962071366
39.464,2590.2651774245865,2460.235871523835,90.0
39.664,2540.9777175993677,2456.379108068887,87.0
39.729,2526.0,2457.0,85.984372
39.889,2494.0,2464.0,83.484372
39.984,2474.103747250057,2472.0305701482453,82.0
40.049,2461.0,2479.0,80.3749952
40.289,2422.0,2513.0,74.3749952
40.304,2419.8899793808423,2515.401929388468,74.0
40.465,2399.1256110766412,2542.493660492603,74.0
40.509,2394.0,2550.0,74.1374992
40.729,2371.0,2588.0,74.825
40.785,2365.275685965033,2598.384418069627,75.0
40.969,2347.0,2634.0,77.3
41.025,2341.9838850422507,2644.6966723606656,78.0
41.108,2335.0,2661.0,78.7781232
41.308,2320.0,2705.0,80.6531232
41.345,2317.556860115952,2712.867661755222,81.0
41.505,2308.208628035629,2745.6527377947514,85.0
41.548,2306.0,2755.0,85.5374976
41.665,2300.6165474982836,2782.2500997590173,87.0
41.788,2296.0,2812.0,90.51428022857142
41.945,2291.7787479050694,2850.245547278557,95.0
41.988,2291.0,2863.0,95.64499712
42.145,2289.630115706254,2922.113631809275,98.0
42.288,2290.0,2975.0,103.16388195555555
42.505,2292.8503673490995,3023.806402148772,111.0
42.668,2297.0,3060.0,117.26922338461539
42.948,2308.0,3153.0,128.03845415384615
43.025,2311.46854137005,3179.0340192933,131.0
43.108,2316.0,3210.0,134.73499136
43.348,2337.0,3333.0,145.53499136
43.425,2345.442640713373,3376.469367624189,149.0
43.748,2378.0,3528.0,160.30499328
43.825,2380.3878945272095,3538.435929990538,163.0
43.985,2384.1380131654264,3554.5252556657606,168.0
44.008,2386.0,3563.0,169.37998848
44.185,2413.241970033085,3688.359697495699,180.0
44.329,2437.0,3798.0,186.6
44.425,2447.2322951475253,3845.187180296693,191.0
44.705,2463.6845629984873,3923.4375406252,201.0
44.709,2464.0,3925.0,201.08181294545454
44.969,2493.0,4064.0,206.4
45.145,2524.1032888269833,4191.941578104257,210.0
45.209,2536.0,4241.0,212.5142857142857
45.425,2574.4376544264765,4407.873618319158,221.0
45.609,2600.0,4523.0,224.83333333333334
45.665,2605.66007435454,4548.563981429041,226.0
45.905,2622.7626680878734,4628.064925056736,233.0
45.989,2632.0,4674.0,234.4058545854564
46.144,2656.4798845615605,4798.310809456675,237.0
46.269,2677.0,4907.0,240.1249984
46.304,2682.0379469216437,4934.928912321755,241.0
46.689,2721.0,5181.0,246.2500026181818
46.744,2725.2966934228834,5210.348518369876,247.0
46.905,2736.6159824043243,5289.761807065765,250.0
47.065,2745.809473467024,5388.676644964373,250.0
47.089,2747.0,5407.0,248.8
47.329,2755.0,5613.0,236.8
47.385,2755.0571057615402,5649.141068716942,234.0
47.629,2746.0,5760.0,216.80910894545454
47.825,2727.494464407478,5870.602317277893,203.0
47.868,2722.0,5895.0,200.312512
48.048,2694.0,5991.0,189.062512
48.225,2663.044283312914,6077.4962667604605,178.0
48.248,2659.0,6088.0,176.73501056
48.425,2628.3058289824166,6162.5105097897585,167.0
48.585,2592.5635034689517,6231.052191422323,161.0
48.608,2586.0,6242.0,159.9545541818182
48.848,2506.0,6360.0,149.04546327272726
49.268,2424.0,6451.0,129.95455418181817
49.465,2375.0530445656163,6497.16298228909,121.0
49.468,2374.0,6498.0,120.8781328
49.688,2282.0,6562.0,111.9406328
49.785,2256.9807739993576,6577.814336982239,108.0
50.025,2229.562739151702,6588.900980648887,97.0
50.068,2221.0,6592.0,96.16389262222222
50.168,2196.0,6601.0,94.21944817777778
50.385,2144.457317568501,6612.448012923005,90.0
50.408,2139.0,6613.0,89.4250048
